,answer,keywords
1886,carrie nation,Hatchet Kansas saloon woman Springs Prohibition Smasher Eureka Faithful Mail historic Lady Hall famous home nickname temperance souvenir people Arrested Dec. Lizzie Borden Montana Drunk Kiowa Missouri Wichita year liquor umbrella began grave stop bout time foot category staged reach
3794,carrie underwood,Idol American country female music Kodo-inspired Grammy-winning Cheats Cameras Faith Hill vocalist Awards album Oklahoma Jesus Wheel grammys chart winning thanked fan drummer songstress sore loser caught shouting beat culture best-selling debut Cowboy Casanova Herald Angels Sing Blown Muskogee Storyteller
4139,carrots,Calif Mrs. Gooch Market Glendale vegetable root orange veggie dip cream Bunny Bugs baked food eaten cheese icing California capital world Half-long Nantes Queen Anne Lace Raisins Ironically Blanc Mike Yurosek WWII British Yiddish Imperator Chantenay Holtville made salad farmer
1372,cars,film animated Hudson Route Mater Lightning movie destruction ranft pixar award minivan jeff Dream magazine Caloric Fwick Luigi Fiat Split Irvington Izzer Parking June Studebaker Oscar-nominated People Turn Madman Comedians Alvan Vonnegut game voice entertainment feature character collector Long Term
2212,carson city,Nevada state capital city mint silver Eagle Founded library coin Museum mark Abraham Curry Valley made americana dollar 1870-93 mile Lake Tahoe Archives Sierra Appropriately lie oldest newspaper building frontier scout named Lode Comstock Reno Virginia History SCARY TONIC million
4116,carson mccullers,Lonely Hunter Wedding Member Heart book woman Oprah author Reflections Golden adapted stage biography american rewrote play version entitled literature published century picked club Frankie Virginia Spencer Carr Lula Smith Edward Albee Ballad Cafe Southern story death writer georgia film
3335,carter,president asked entire cabinet playboy chip Deacon nickname smith Lynda Nell Dixie Miss Lillian Grits Politican Korean Navy Baptist October surname Union Afghanistan Edmund Muskie Iran Peanut Georgia Elvis Rosalynn Plains mother Chicken-Fried McGovern sailor future officer nuclear submarine program
887,carthage,african city Punic Rome north ancient history destroyed Phoenician city-state Tunisia Cato Dido Mediterranean founded Dying Himilco Kart-hadasht Mamertines Messana Gulf Tradition Join Atlantic Ireland ruin Wars statesman wall world Romans Vandals Hannibal Aemilianus capital mile western Genseric controlled town
3573,cartilage,skeleton made elastic shark tissue bone body human material skate part type connective Unlike Yeesh Random House Elasmobranches biology form substance nature knee gristle squid Rays give fish science torn meniscectomy performed remove work found outer critter called auricle defines
2594,cary grant,Cary Grant Barbara hitchcock Leach Judy North British Virginia Cherrill Hutton Betsy Drake Dyan Cannon Harris Late Suspicion Wrong Notorious West Affair Remember Archibald Charade Catch Thief Called film star movie ideal hero told newcomer husband celebrity secret lamented Male
268,casablanca,City Rick Morocco Bogart Movie film world largest classic Humphrey Major Strasser Time Oscar remember January Germans Picture Play Churchill beautiful Ilsa kiss African beginning friendship Louis Rains Lund Paris Rabat Anfa sweetheart Laszlo Arabic mine detail gray port blue
4987,casanova,Italian century lover Venice Memories French Venetian Bohemia Samueli Theater Born violinist literature filled volume died lusty adventurer made penned 1826-38 written senior hsitory spent year historic people scandal home woman Donald Life seducer lying Paris Halloween Doge Palace Sutherland
3026,casey jones,engineer april railroad Cannonball Express train american song crash museum Tennessee hero Illinois died Immortalized legend commemorative central ballad stamp Trouble brave honoring bore portrait Jackson story folklore saving life Literature Lover Book Lists Saunders hand time Missouri John Deadhead
4966,casey stengel,manager baseball Fame Yankee Hall League sport Series World Casey people dead Line National York Westrum Major Kansas City Bat Ralph Perfesser oldest Mets history received autobiographer died remarked batted timeline quote player alphabetically height succeeded nickname born embalmed quotation
3926,casino royale,Bond James book Fleming Asked film premiere huston heller queen author Gordon Chapters Page martini published title movie French Chiffre Dossier Pink Lights Champagne Baccarat Vesper Lynd Daniel Craig director feature spoof screenplay recipe vodka campy version girl reader scent
3766,cassandra,King Priam Apollo prophecy gift Troy Agamemnon daughter hecuba woman myth believed mythology gave Greece Troilus Cressida Mycenae spurned forecaster listened legend fall ala literary classic blessed condemned occult synonymous person unheeded killed return ignoring warning kid ear licked serpent
4485,castle,Nathan Fillion Hapsburg Norman Switzerland American Vernon Irene House tango title holy ruled king style proverbially detective gothic structure emperor place dynasty contraction family crossword clue dance brought White Walpole character crime Windsor Balmoral Montezuma Harold Kumar Starting Edward Coke
4295,castor & pollux,Helen twin Gemini Troy Zeus mythology Dioscuri greek brother Leda myth son Famous star sister legend called heavenly Regillus horsemanship boxing head Hercules Classical Oddly Romans Latin Lake Honey guy account teacher taught answer final kind skill remembrance cast baby
2395,cat,animal John alice chicago ancient tongue title Honky Loved Fonda Ballou Darn Romans Early Edition Hobson Green Arrested Drown Worshipped Egyptians Bast Heathcliff Believed Thailand Pywacket Bell Book Candle Burt Reynolds Fatso Spokane Keyboard Starring Jane Sandburg feet word project
1579,cat on a hot tin roof,Williams Tennessee play Daddy Maggie Brick Pollitt film broadway family Taylor drama plantation debut Pulitzer Prize Terrence Howard locution Elizabeth Alley newman revival birthday celebrate actor stage title role scene impatient Charles Durning Tabby Steamy Metal Housetop Kathleen Turner Feline
1039,catch-22,Major Heller Yossarian Joseph love Force book Time Pianosa WWII sight number Closing chaplain island literature century crazy Milo Minderbinder sequel character bombardier fiction world tarzan fell madly setting american begin term insanity office Trial Troubled John Gripes Mediterranean Manhattan
5044,catcher in the rye,Holden Caulfield Salinger book Phoebe Pencey school Prep page Widely York City Time Secret Goldfish start day fictional failed class feel magazine review fantasized idea american literature cover life censored read high target foul language good refer baseball player draft
2903,caterpillar,insect hairy French company mining Hungry equipment Machinery larva cat velvety cord stock symbol Farmer Almanac Benjamin Holt Chenille Latin Peoria Peoria-based Loader backhoe winter giant market business book title converter hodgepodge origin industry producer earthmoving called ancient gave woubit
2696,catfish,fish type Mississippi Walking bottom Clarias Electric southern specie channel Batrachus barbeled water upside-down World flathead feline bullhead blue feeder travel whiskered zoology large called River Pencil European Wels Florida Nickname Hunter Series-winning Kentucky Nile North American inch animal overland
4924,catherine,France Medici queen ballet Great Hernan Hindley Earnshaw Russia Potemkin Crimea Pope Clement Henri Cortes Bologna Genoa Siena VIII Comique Reine Peter sister royalty king woman saint empress fictional tour contemporary mother married girl ruler allegedly built artificial village uncle
2373,catherine of aragon,Henry VIII wife married Spanish Born year brother queen Joan Mad Catalina Columbus World Mary princess history royal tudor ruler child shakespearean character beginning divorce younger tragic british sail thing famous female victim controversial break-ups lady survived England Kimbolton Castle
232,catherine the great,Russian empress Great history American Revolution throne lover Peter Orlov woman ruler ballet Voltaire Born November Archbishop Crimea Leningrad Kirov Shaw Encyclopedia Ekaterina Velikaya Grigori Tauride Novgorod Sophia Augusta Fredericka Pomerania Petersburg Count royal Mother husband Ukraine monarch Potemkin Palace
3660,catherine zeta-jones,Douglas Michael London September Welsh greek June Street Dylan Chicago Jazz actress yacht woman birthday Thomas beauty traffic broadway merry gave revival entertaining T-Mobile wife spotted paper canoodling teen musical teenager married happy forgets soundtrack singing alphabet soup global spokeswoman
1934,catholicism,religion Christianity Queen faith Sweden practice king branch Holy converted voodoo monaco major official people archbishop country brasil Luther Bolivians Massachusetts Thompson Irish Peru Slovenes African Nicholas Heath Alex Saxony Roman Emperor Ferdinand Knights Columbus Turn-ons Spain Panama Liechtensteiners Chile
357,cats,broadway musical animal Memory book show Ancient Mistoffelees Grizabella Eliot Egyptians Lloyd Andrew Webber pet common ailurophobia June Chorus Sept. October Line Abyssinian Possum Practical Deuteronomy Manx worshipped character time gatos white Maus fear bond performance day surpassed based smile
